index,Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes,Year,Population
0,Philippines,353,10340,165,132,395537.25,2759.65,70538.76,24349.58,367.06,41948.78,8373.92,2454.35,75344.75,15012.94,222024.56,67572.9,64971.54,991256.05,510659.37,2018,105755180.0
1,NCR,,1000,1,22,2.2,281.95,1678.87,659.15,13.44,1779.55,238.21,932.09,4791.48,233.4,136.7,38.28,28114.0,38899.32,28654.23,2018,13453701.0
2,CAR,,207,5,2,357948.75,13.06,9755.73,592.39,80.28,276.03,34.95,17.33,729.89,4.83,3.6,2.45,100.2,369559.49,381828.99,2018,1775210.0
3,I - Ilocos Region,33,962,22,3,1.06,0.02,0.02,2706.23,0.0,3.03,0.96,196.21,754.46,46.48,9.8,0.2,1187.2,4905.67,10656.78,2018,5178410.0
4,II - Cagayan Valley,27,723,14,0,0.0,14.25,0.01,20.75,0.0,0.0,0,27.15,45.99,0.63,0.0,0.0,47.52,156.3,6.05,2018,3579715.0
5,III - Central Luzon,31,746,16,33,7.5,103.36,8446.54,6314.72,181.72,798.98,1330.48,300.01,24109.42,491.53,221157.64,67474.7,897.39,331613.98,68543.62,2018,11890314.0
6,IV-A - CALABARZON,35,995,34,40,239.62,1834.7,3174.86,8677.93,84.65,38525.26,6541.18,691.91,23602.7,13068.69,712.03,9.81,8953.52,106116.86,8511.74,2018,15418944.0
7,IV-B - MIMAROPA,19,146,10,0,0.0,17.14,0.67,11.2,0.0,0.0,0,0.0,288.42,16.33,0.0,1.44,7.32,342.52,134.0,2018,3094357.0
8,V - Bicol Region,82,323,2,3,6.78,1.18,13.42,53.33,0.01,3.2,0.02,3.27,102.12,5.95,0.0,10.65,298.51,498.43,0.0,2018,6005949.0
9,VI - Western Visayas,17,1119,9,1,0.0,62.64,299.27,46.06,5.33,33.12,0.61,88.16,2354.63,20.8,0.15,20.35,842.66,3773.78,3037.5,2018,7763898.0
10,VII - Central Visayas,57,424,16,8,1609.68,354.07,45586.38,225.79,0.16,517.76,226.17,115.47,1988.76,112.57,3.29,0.38,275.71,51016.18,7670.92,2018,7745017.0
11,VIII - Eastern Visayas,8,885,6,0,0.0,0.39,0.0,2487.82,0.0,0.0,0,0.41,437.87,23.89,0.0,0.0,7942.34,10892.73,62.14,2018,4619183.0
12,IX - Zamboanga Peninsula,2,313,1,0,1.2,0.05,0.19,260.59,0.0,2.49,0,0.0,1687.59,0.65,0.0,0.08,116.7,2069.54,336.51,2018,3724550.0
13,X - Northern Mindanao,11,523,8,7,0.0,59.64,474.61,2188.86,1.1,3.06,0.78,81.08,10178.54,827.68,0.0,5.64,488.29,14309.28,0.0,2018,4892512.0
14,XI - Davao Region,10,1163,4,11,15641.77,15.14,1106.91,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16763.83,494.15,2018,5129342.0
15,XII - SOCCSKSARGEN,,205,14,2,0.01,1.95,1.28,93.75,0.38,6.3,0.56,1.24,733.75,159.52,1.35,8.93,680.29,1689.3,722.73,2018,4777419.0
16,XIII - Caraga,21,587,3,0,20078.68,0.12,0.0,11.01,0.0,0.0,0,0.0,3539.15,0.01,0.0,0.0,15019.89,38648.86,0.0,2018,2692072.0
17,BARMM,,19,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,4014587.0
