index,Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes,Year,Population
0,Philippines,,11637,245,162,899.98,4481.85,21258.78,18781.08,245.02,27751.62,18445.97,5343.55,65457.17,5603.3,30645.36,312.27,39316.14,238542.09,237412.87,2021,110198654.0
1,NCR,0,1031,1,26,0.99,411.8,163.4,1136.17,7.43,2942.95,359.71,1003.3,3550.08,418.79,333.29,69.98,13479.27,23877.16,23883.5,2021,13966223.0
2,CAR,0,726,10,3,0.0,1.65,0.31,97.42,0.0,330.9,27.42,137.63,1115.12,6.78,0.0,77.44,643.07,2437.74,2392.01,2021,1822719.0
3,I - Ilocos Region,0,3223,31,2,0.0,0.1,0.1,9.9,0.36,4.08,10.96,48.07,489.31,8.98,0.0,33.3,2254.64,2859.79,2825.58,2021,5313223.0
4,II - Cagayan Valley,0,825,41,1,0.0,0.0,29.5,19.89,0.0,36.58,0,12.71,447.57,154.97,0.0,6.06,558.58,1265.86,1256.57,2021,3693664.0
5,III - Central Luzon,0,882,12,50,495.02,617.01,71.6,433.56,49.81,3473.83,1454.49,300.82,11661.38,959.63,27830.51,34.91,6650.4,54032.95,53376.64,2021,12513847.0
6,IV-A - CALABARZON,0,494,43,42,387.24,3303.98,20843.33,15708.09,178.69,16852.11,14904.16,3326.9,27228.43,3573.15,2454.04,68.22,8254.75,117083.09,117601.9,2021,16361107.0
7,IV-B - MIMAROPA,0,179,12,1,0.0,23.38,2.12,21.45,0.0,2.98,0,6.31,1535.53,6.81,0.0,0.0,126.01,1724.59,1693.8,2021,3212211.0
8,V - Bicol Region,0,444,7,1,0.0,2.54,1.22,49.22,0.0,1.93,0.29,2.54,1330.57,52.39,0.0,1.8,1479.3,2921.8,3167.0,2021,6192924.0
9,VI - Western Visayas,0,1170,13,2,0.0,7.49,2.37,135.05,5.45,2.98,0.18,17.91,986.96,5.82,0.79,0.0,1134.21,2299.21,2225.93,2021,7970551.0
10,VII - Central Visayas,0,482,15,10,16.71,104.56,143.71,637.22,0.0,3621.63,1590.52,245.93,3647.03,220.59,22.67,0.47,2467.32,12718.34,12389.4,2021,8054772.0
11,VIII - Eastern Visayas,0,872,6,3,0.0,2.26,0.38,74.85,0.0,55.57,0.18,0.91,581.49,16.59,0.0,5.08,200.85,938.15,935.04,2021,4803767.0
12,IX - Zamboanga Peninsula,0,122,1,0,0.0,0.44,0.0,12.42,0.0,7.3,0.01,0.0,210.16,0.83,0.0,0.0,11.22,242.38,204.66,2021,3809540.0
13,X - Northern Mindanao,0,295,19,9,0.0,2.21,0.73,36.58,0.01,152.45,2.82,43.45,9743.28,19.25,0.0,0.0,763.7,10764.48,10642.84,2021,5074563.0
14,XI - Davao Region,0,165,9,11,0.0,0.24,0.0,62.6,0.0,3.65,0,190.77,1239.61,32.28,0.0,0.0,1096.28,2625.43,2602.69,2021,5371254.0
15,XII - SOCCSKSARGEN,0,165,21,1,0.03,4.18,0.0,105.23,3.27,92.02,92.74,2.6,385.16,47.13,1.36,15.0,130.05,878.77,468.89,2021,4985878.0
16,XIII - Caraga,0,562,4,0,0.0,0.02,0.01,241.43,0.0,170.66,2.5,3.71,1305.5,79.31,2.7,0.0,66.49,1872.33,1746.42,2021,2782218.0
17,BARMM,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,4270193.0
