index,Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes,Year,Population
0,Philippines,511,9883,118,135,191367.41,10096.5,361916.41,88511.56,425.82,14604.04,6941.93,1961.19,744758.48,5149.26,2797.7,237.85,57039.85,1485807.99,603470.61,2016,102530196.0
1,NCR,0,976,2,23,6.68,702.32,247.44,5341.29,2.58,1460.04,329.87,715.65,83172.12,194.55,413.86,14.63,22368.87,114969.9,17655.13,2016,13066832.0
2,CAR,1,190,0,0,15704.22,768.78,4036.15,101.18,2.28,281.54,21.13,24.14,183.43,3.07,0.0,145.79,32.36,21304.08,17706.25,2016,1739380.0
3,I - Ilocos Region,14,950,21,3,0.0,0.0,92.29,202.37,0.0,3.42,0.82,26.7,694.9,18.98,0.01,0.0,651.64,1691.13,4050.6,2016,5076184.0
4,II - Cagayan Valley,57,724,12,0,0.0,0.0,0.0,0.35,2.33,0.0,0,0.0,0.57,0.04,0.0,0.0,6.97,10.25,200.41,2016,3493662.0
5,III - Central Luzon,34,672,8,32,721.0,444.6,279.47,13099.02,0.0,1353.75,777,12.0,607387.0,307.0,76.13,0.0,1910.01,626366.99,0.0,2016,11437442.0
6,IV-A - CALABARZON,46,795,22,42,3517.65,6776.12,4902.2,39496.94,409.26,9877.5,5114.29,1040.11,36135.62,3593.67,1389.06,34.73,6282.63,118569.78,55560.45,2016,14741686.0
7,IV-B - MIMAROPA,16,135,8,0,0.0,2.21,0.0,10.3,0.0,2.45,0,2.19,3185.86,0.0,0.0,0.0,8.57,3211.57,0.0,2016,3006430.0
8,V - Bicol Region,63,314,1,1,20774.68,10.95,8.03,4180.85,0.39,0.5,5.5,2.02,947.52,75.87,0.0,4.45,645.27,26656.01,511.53,2016,5865520.0
9,VI - Western Visayas,40,1082,8,1,0.0,0.6,1.3,44.68,0.98,0.87,0,0.56,876.75,33.0,7.0,1.87,166.15,1133.76,0.0,2016,7610389.0
10,VII - Central Visayas,57,391,11,11,4253.96,1345.5,351179.54,16320.22,8.01,1621.75,675.2,135.69,6895.43,247.28,10.04,35.08,946.37,383674.06,272790.47,2016,7511565.0
11,VIII - Eastern Visayas,84,881,4,2,8926.88,34.63,0.0,9659.46,0.0,0.0,0,0.01,909.65,3.46,901.6,0.01,341.37,20777.07,1306.96,2016,4495990.0
12,IX - Zamboanga Peninsula,4,264,1,0,0.0,0.01,0.7,16.88,0.0,0.14,0,0.0,801.02,0.0,0.0,0.0,22398.45,23217.2,387.07,2016,3660328.0
13,X - Northern Mindanao,28,501,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,4755673.0
14,XI - Davao Region,14,1246,8,10,725.54,9.57,1168.29,23.19,0.0,0.95,18.12,1.69,985.09,665.73,0.0,1.28,877.4,4476.86,1757.56,2016,4967320.0
15,XII - SOCCSKSARGEN,24,175,6,3,0.0,0.0,0.0,2.45,0.0,0.13,0,0.43,4.33,6.62,0.0,0.0,392.74,406.71,18134.02,2016,4621162.0
16,XIII - Caraga,29,568,2,0,136736.8,1.2,1.01,12.37,0.0,0.99,0,0.0,2579.2,0.0,0.0,0.02,11.05,139342.63,213410.16,2016,2627491.0
17,BARMM,,19,1,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,3853142.0
