index,Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes,Year,Population
0,Philippines,553,9335,101,123,401467.43,317403.61,983030.13,710107.45,330.35,67807.14,33822.49,5365.68,1351706.03,15564.6,2377.17,928.82,442311.44,4332222.32,1579719.48,2015,100833371.0
1,NCR,0,943,2,20,4.62,757.13,7351.17,1502.59,23.15,4477.03,364.29,370.96,98156.12,1201.13,843.01,33.21,103668.62,218753.01,183378.59,2015,12859211.0
2,CAR,6,182,2,0,212924.33,37.32,4245.07,76.5,0.0,157.34,55.84,26.46,99.79,7.46,0.0,124.82,54.16,217809.1,258180.36,2015,1720134.0
3,I - Ilocos Region,93,1009,19,3,0.0,0.79,440.09,58.14,0.0,14.72,0,0.0,280.34,15.46,14.77,31.6,1174.58,2030.48,0.0,2015,5021171.0
4,II - Cagayan Valley,43,723,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,3447468.0
5,III - Central Luzon,37,681,8,31,1355.0,5795.0,1902.0,83139.0,0.1,34642.0,26376.00,420.0,1162336.0,2740.0,413.0,0.5,24958.0,1344076.6,350086.0,2015,11199069.0
6,IV-A - CALABARZON,81,674,22,38,745.61,11644.7,35972.32,582670.4,301.74,12352.12,6421.92,2214.4,55879.87,2448.63,938.21,726.65,263870.08,976186.65,178958.57,2015,14387196.0
7,IV-B - MIMAROPA,17,124,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,2959491.0
8,V - Bicol Region,39,314,1,0,6483.77,1.58,0.53,1248.2,0.0,171.65,0.65,0.0,339.95,53.63,0.0,0.01,337.68,8637.65,2824.43,2015,5790307.0
9,VI - Western Visayas,75,644,6,1,0.0,0.01,2.0,1.43,0.0,2.2,2.7,0.17,806.29,21.6,0.25,2.9,1110.84,1950.38,0.0,2015,7528646.0
10,VII - Central Visayas,,401,6,13,280.89,1021.93,215490.7,32852.99,5.15,14553.88,588.23,1916.77,6199.76,4703.63,11.18,0.48,396.96,278022.55,232506.43,2015,7386344.0
11,VIII - Eastern Visayas,21,882,3,2,0.0,1627.0,0.0,8296.33,0.0,10.13,11.36,0.0,175.86,1.34,0.0,0.0,552.38,10674.41,6160.46,2015,4434152.0
12,IX - Zamboanga Peninsula,24,249,1,0,0.0,2.03,1.53,1.38,0.0,1.43,0,0.0,483.66,0.01,0.0,0.0,37.29,527.33,0.0,2015,3625830.0
13,X - Northern Mindanao,42,501,2,6,0.0,296159.59,550211.02,255.72,0.19,53.18,0.91,178.22,21334.66,215.5,156.75,3.81,3362.4,871931.94,54225.62,2015,4682374.0
14,XI - Davao Region,9,1246,7,6,1876.51,355.5,69228.49,3.35,0.0,1371.15,0.54,238.54,4637.27,4153.37,0.0,3.15,38604.15,120472.02,35591.35,2015,4885808.0
15,XII - SOCCSKSARGEN,33,175,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,4537578.0
16,XIII - Caraga,33,568,2,0,177796.7,1.04,98185.22,1.43,0.0,0.31,0.04,0.15,976.46,2.83,0.0,1.71,4184.3,281150.2,277807.67,2015,2593738.0
17,BARMM,,19,1,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,3774854.0
