index,Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes,Year,Population
0,Philippines,233,11546,241,127,465.6,1282.65,3556.62,6309.88,97.0,7381.62,6448.80,930.47,20084.39,1276.54,9609.25,39.35,9683.63,67165.8,58569.15,2020,108771978.0
1,NCR,0,1042,1,18,0.34,89.92,22.35,266.42,9.2,1060.78,35.73,119.27,5899.08,69.46,98.24,15.45,3565.97,11252.21,9950.32,2020,13804656.0
2,CAR,0,705,7,1,0.01,0.14,0.03,59.61,0.0,133.04,11.13,25.04,256.16,2.54,0.0,0.0,184.51,672.22,637.08,2020,1807738.0
3,I - Ilocos Region,12,3263,39,2,0.0,0.47,0.0,24.14,0.0,0.79,0.11,4.42,148.78,2.91,0.0,0.0,710.47,892.08,829.17,2020,5270807.0
4,II - Cagayan Valley,14,824,36,0,0.0,0.0,0.0,0.08,0.0,0.02,0,0.0,20.05,0.0,0.0,0.0,38.64,58.78,58.78,2020,3657741.0
5,III - Central Luzon,4,989,12,40,353.05,73.84,15.85,125.5,7.0,760.4,514.03,121.44,2292.6,269.79,8233.06,0.62,1521.39,14288.58,13962.76,2020,12313718.0
6,IV-A - CALABARZON,17,494,38,37,98.46,1055.94,3419.94,5511.23,80.26,4592.32,5492.27,586.4,6462.69,838.92,1264.46,23.1,2283.45,31709.44,26449.32,2020,16057299.0
7,IV-B - MIMAROPA,35,179,12,1,0.0,2.07,0.0,0.07,0.0,0.0,0,0.0,222.95,0.0,0.0,0.0,30.41,255.5,236.4,2020,3174859.0
8,V - Bicol Region,23,364,7,1,0.0,0.0,0.0,6.75,0.0,0.05,0,0.08,365.11,24.63,0.0,0.17,217.16,613.95,246.08,2020,6133836.0
9,VI - Western Visayas,48,1127,14,4,0.0,0.0,0.0,12.0,0.0,0.5,0,0.0,74.17,0.72,0.0,0.0,311.96,399.34,347.26,2020,7904899.0
10,VII - Central Visayas,27,390,15,9,13.75,58.45,98.42,166.72,0.0,799.11,395.17,50.77,903.83,45.23,11.29,0.0,474.59,3017.31,2308.28,2020,7957046.0
11,VIII - Eastern Visayas,10,854,6,2,0.0,0.0,0.0,0.16,0.0,0.0,0,0.1,35.89,0.06,0.0,0.0,6.67,42.88,42.88,2020,4742337.0
12,IX - Zamboanga Peninsula,7,97,2,0,0.0,0.0,0.0,0.77,0.0,0.01,0,5.47,20.26,0.0,0.0,0.0,0.06,26.57,5.46,2020,3782761.0
13,X - Northern Mindanao,14,306,19,6,0.0,1.83,0.03,40.52,0.53,1.6,0.37,8.24,2970.9,8.19,0.0,0.0,195.47,3227.68,3062.42,2020,5017051.0
14,XI - Davao Region,20,166,6,4,0.0,0.0,0.0,9.4,0.0,0.0,0,4.88,239.23,0.1,0.0,0.0,127.89,381.5,226.45,2020,5290869.0
15,XII - SOCCSKSARGEN,0,165,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.36,80.58,0.0,0.0,0.0,0.0,84.94,84.53,2020,4919936.0
16,XIII - Caraga,2,562,4,1,0.0,0.0,0.0,86.51,0.0,33.0,0,0.0,92.13,14.0,2.2,0.0,14.98,242.82,121.96,2020,2753109.0
17,BARMM,,19,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,4183316.0
