Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes
Philippines, NaN ,"  11,779 ",  290 ,153,  977.58 ,"  3,952.36 ","  22,725.57 ","  21,555.88 ",  995.34 ,"  27,685.19 ","  15,572.87 ","  6,899.72 ","  71,958.19 ","  6,167.08 ","  33,720.60 ",  203.95 ,"  40,344.33 ","  252,758.67 ","247,010.66"
NCR,0,1045,1,21,2.86,488.34,186.60,946.59,28.70,"4,122.37",477.46,"1,451.17","6,100.73",599.48,114.82,51.62,"15,138.76","29,709.49","29,170.76"
CAR,0,726,9,2,0.01,11.29,4.01,143.54,0.03,412.31,32.80,158.50,"1,157.86",16.62,0.00,0.00,704.69,"2,641.66","2,573.33"
I - Ilocos Region,0,3223,51,2,3.20,1.38,0.68,62.79,0.07,6.88,1.57,81.74,842.61,83.70,0.00,0.42,"1,789.95","2,874.98","2,832.98"
II - Cagayan Valley,0,825,44,1,0.00,3.44,1.53,20.52,0.02,2.20,0.69,55.87,846.07,165.54,0.00,0.00,574.57,"1,670.46","1,647.63"
III - Central Luzon,0,882,15,51,480.48,233.90,137.06,"1,006.75",865.42,"2,911.81","1,560.94","1,274.42","12,581.95","1,409.58","19,155.86",2.22,"6,545.73","48,166.12","46,324.20"
IV-A - CALABARZON,0,527,41,44,445.72,"2,998.15","22,264.98","17,780.28",92.45,"16,688.28","11,973.72","3,363.14","26,007.51","3,330.23","14,403.80",41.28,"8,096.62","127,486.15","125,167.91"
IV-B - MIMAROPA ,0,179,14,0,0.00,24.56,10.40,56.87,0.00,5.37,0.00,6.90,"2,009.83",5.39,0.00,0.00,255.10,"2,374.41","2,084.09"
V - Bicol Region,0,444,8,1,0.01,4.05,23.91,35.77,0.09,2.42,0.00,0.99,"1,307.21",64.68,0.00,2.19,"1,375.15","2,816.47","2,731.16"
VI - Western Visayas,0,1170,15,2,0.00,3.91,1.36,76.70,5.21,0.62,0.13,70.84,"2,110.00",10.09,8.26,0.00,"1,565.36","3,852.46","3,884.62"
VII - Central Visayas,0,482,16,9,44.76,98.29,91.34,859.09,2.59,"3,255.34","1,490.90",170.49,"3,960.48",240.37,27.97,56.86,"2,134.19","12,432.67","11,802.77"
VIII - Eastern Visayas,0,875,11,2,0.00,66.73,0.75,57.65,0.00,115.09,0.09,9.91,525.75,17.34,0.00,0.00,294.18,"1,087.50","1,017.22"
IX - Zamboanga Peninsula,0,123,2,1,0.06,4.10,0.00,33.85,0.00,1.66,0.00,2.39,467.75,21.92,0.00,0.00,8.34,540.07,597.87
X - Northern Mindanao,0,299,28,7,0.00,10.27,0.49,80.32,0.22,53.04,2.10,23.04,"10,474.21",20.30,0.00,0.33,483.18,"11,147.49","11,156.47"
XI - Davao Region,0,165,9,6,0.05,1.80,1.80,110.34,0.00,0.28,0.37,226.02,"1,541.11",54.01,0.00,48.30,"1,009.45","2,993.54","2,839.95"
XII - SOCCSKSARGEN,0,252,22,3,0.45,1.96,0.67,46.55,0.53,39.61,28.11,0.53,682.67,58.00,0.33,0.73,232.96,"1,093.09","1,339.21"
XIII - Caraga  ,0,562,4,1,0.00,0.19,0.00,238.27,0.00,67.92,4.00,3.78,"1,342.43",69.84,9.57,0.00,136.11,"1,872.11","1,840.49"
BARMM,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
