Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes
Philippines,553,"  9,335 ",  101 ,123,"  401,467.43 ","  317,403.61 ","  983,030.13 ","  710,107.45 ",  330.35 ,"  67,807.14 ","  33,822.49 ","  5,365.68 ","  1,351,706.03 ","  15,564.60 ","  2,377.17 ",  928.82 ,"  442,311.44 ","  4,332,222.32 ","1,579,719.48"
NCR,0,943,2,20,4.62,757.13,"7,351.17","1,502.59",23.15,"4,477.03",364.29,370.96,"98,156.12","1,201.13",843.01,33.21,"103,668.62","218,753.01","183,378.59"
CAR,6,182,2,0,"212,924.33",37.32,"4,245.07",76.50,0.00,157.34,55.84,26.46,99.79,7.46,0.00,124.82,54.16,"217,809.10","258,180.36"
I - Ilocos Region,93,"1,009",19,3,0.00,0.79,440.09,58.14,0.00,14.72,0.00,0.00,280.34,15.46,14.77,31.60,"1,174.58","2,030.48",0
II - Cagayan Valley,43,723,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
III - Central Luzon,37,681,8,31,"1,355.00","5,795.00","1,902.00","83,139.00",0.10,"34,642.00","26,376.00",420.00,"1,162,336.00","2,740.00",413.00,0.50,"24,958.00","1,344,076.60","350,086.00"
IV-A - CALABARZON,81,674,22,38,745.61,"11,644.70","35,972.32","582,670.40",301.74,"12,352.12","6,421.92","2,214.40","55,879.87","2,448.63",938.21,726.65,"263,870.08","976,186.65","178,958.57"
IV-B - MIMAROPA ,17,124,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
V - Bicol Region,39,314,1,0,"6,483.77",1.58,0.53,"1,248.20",0.00,171.65,0.65,0.00,339.95,53.63,0.00,0.01,337.68,"8,637.65","2,824.43"
VI - Western Visayas,75,644,6,1,0.00,0.01,2.00,1.43,0.00,2.20,2.70,0.17,806.29,21.60,0.25,2.90,"1,110.84","1,950.38",0
VII - Central Visayas,NaN,401,6,13,280.89,"1,021.93","215,490.70","32,852.99",5.15,"14,553.88",588.23,"1,916.77","6,199.76","4,703.63",11.18,0.48,396.96,"278,022.55","232,506.43"
VIII - Eastern Visayas,21,882,3,2,0.00,"1,627.00",0.00,"8,296.33",0.00,10.13,11.36,0.00,175.86,1.34,0.00,0.00,552.38,"10,674.41","6,160.46"
IX - Zamboanga Peninsula,24,249,1,0,0.00,2.03,1.53,1.38,0.00,1.43,0.00,0.00,483.66,0.01,0.00,0.00,37.29,527.33,0
X - Northern Mindanao,42,501,2,6,0.00,"296,159.59","550,211.02",255.72,0.19,53.18,0.91,178.22,"21,334.66",215.50,156.75,3.81,"3,362.40","871,931.94","54,225.62"
XI - Davao Region,9,"1,246",7,6,"1,876.51",355.50,"69,228.49",3.35,0.00,"1,371.15",0.54,238.54,"4,637.27","4,153.37",0.00,3.15,"38,604.15","120,472.02","35,591.35"
XII - SOCCSKSARGEN,33,175,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
XIII - Caraga  ,33,568,2,0,"177,796.70",1.04,"98,185.22",1.43,0.00,0.31,0.04,0.15,976.46,2.83,0.00,1.71,"4,184.30","281,150.20","277,807.67"
BARMM,NaN,19,1,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
