Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes
Philippines, NaN ,"  11,637 ",  245 ,162,  899.98 ,"  4,481.85 ","  21,258.78 ","  18,781.08 ",  245.02 ,"  27,751.62 ","  18,445.97 ","  5,343.55 ","  65,457.17 ","  5,603.30 ","  30,645.36 ",  312.27 ,"  39,316.14 ","  238,542.09 ","237,412.87"
NCR,0,1031,1,26,0.99,411.80,163.40,"1,136.17",7.43,"2,942.95",359.71,"1,003.30","3,550.08",418.79,333.29,69.98,"13,479.27","23,877.16","23,883.50"
CAR,0,726,10,3,0.00,1.65,0.31,97.42,0.00,330.90,27.42,137.63,"1,115.12",6.78,0.00,77.44,643.07,"2,437.74","2,392.01"
I - Ilocos Region,0,3223,31,2,0.00,0.10,0.10,9.90,0.36,4.08,10.96,48.07,489.31,8.98,0.00,33.30,"2,254.64","2,859.79","2,825.58"
II - Cagayan Valley,0,825,41,1,0.00,0.00,29.50,19.89,0.00,36.58,0.00,12.71,447.57,154.97,0.00,6.06,558.58,"1,265.86","1,256.57"
III - Central Luzon,0,882,12,50,495.02,617.01,71.60,433.56,49.81,"3,473.83","1,454.49",300.82,"11,661.38",959.63,"27,830.51",34.91,"6,650.40","54,032.95","53,376.64"
IV-A - CALABARZON,0,494,43,42,387.24,"3,303.98","20,843.33","15,708.09",178.69,"16,852.11","14,904.16","3,326.90","27,228.43","3,573.15","2,454.04",68.22,"8,254.75","117,083.09","117,601.90"
IV-B - MIMAROPA ,0,179,12,1,0.00,23.38,2.12,21.45,0.00,2.98,0.00,6.31,"1,535.53",6.81,0.00,0.00,126.01,"1,724.59","1,693.80"
V - Bicol Region,0,444,7,1,0.00,2.54,1.22,49.22,0.00,1.93,0.29,2.54,"1,330.57",52.39,0.00,1.80,"1,479.30","2,921.80","3,167.00"
VI - Western Visayas,0,1170,13,2,0.00,7.49,2.37,135.05,5.45,2.98,0.18,17.91,986.96,5.82,0.79,0.00,"1,134.21","2,299.21","2,225.93"
VII - Central Visayas,0,482,15,10,16.71,104.56,143.71,637.22,0.00,"3,621.63","1,590.52",245.93,"3,647.03",220.59,22.67,0.47,"2,467.32","12,718.34","12,389.40"
VIII - Eastern Visayas,0,872,6,3,0.00,2.26,0.38,74.85,0.00,55.57,0.18,0.91,581.49,16.59,0.00,5.08,200.85,938.15,935.04
IX - Zamboanga Peninsula,0,122,1,0,0.00,0.44,0.00,12.42,0.00,7.30,0.01,0.00,210.16,0.83,0.00,0.00,11.22,242.38,204.66
X - Northern Mindanao,0,295,19,9,0.00,2.21,0.73,36.58,0.01,152.45,2.82,43.45,"9,743.28",19.25,0.00,0.00,763.70,"10,764.48","10,642.84"
XI - Davao Region,0,165,9,11,0.00,0.24,0.00,62.60,0.00,3.65,0.00,190.77,"1,239.61",32.28,0.00,0.00,"1,096.28","2,625.43","2,602.69"
XII - SOCCSKSARGEN,0,165,21,1,0.03,4.18,0.00,105.23,3.27,92.02,92.74,2.60,385.16,47.13,1.36,15.00,130.05,878.77,468.89
XIII - Caraga  ,0,562,4,0,0.00,0.02,0.01,241.43,0.00,170.66,2.50,3.71,"1,305.50",79.31,2.70,0.00,66.49,"1,872.33","1,746.42"
BARMM,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
