Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes
Philippines,385,"  10,052 ",  135 ,128,"  1,428,453.17 ","  39,024.07 ","  14,703.85 ","  43,219.74 ",  503.17 ,"  16,595.62 ","  7,398.92 ","  3,280.06 ","  220,331.10 ","  17,837.93 ","  6,164.20 ","  2,386.55 ","  298,646.89 ","  2,098,545.28 ","2,363,934.00"
NCR,0,976,2,21,13.04,400.76,289.60,"1,401.19",448.22,"3,795.75","1,997.22","1,539.51","10,307.65",235.13,442.93,"2,016.67","24,688.23","47,575.91","32,342.43"
CAR,0,190,3,2,"191,218.23",2.72,"1,975.78",279.33,8.98,369.01,27.38,47.65,546.11,16.46,0.00,68.01,180.16,"194,739.83","192,742.59"
I - Ilocos Region,24,950,21,3,0.28,26.68,99.40,34.34,0.00,3.34,3.14,60.54,"1,647.02",66.25,0.57,0.00,"2,436.79","4,378.35",1.6
II - Cagayan Valley,24,724,13,0,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.00,100.16,0.00,0.00,0.00,8.69,109.97,377.35
III - Central Luzon,3,711,13,36,240.45,"36,242.65","1,882.24","1,754.91",0.79,"4,887.13","3,215.14",800.60,"174,041.27","14,808.85","5,040.14",55.88,"3,437.65","246,407.70","374,730.17"
IV-A - CALABARZON,54,894,27,34,74.06,"1,814.06",819.22,"3,472.32",18.05,"3,964.68","1,385.52",323.14,"6,934.72",998.09,568.06,23.99,"257,663.94","278,059.85","277,106.06"
IV-B - MIMAROPA ,10,135,8,1,0.00,27.85,0.79,8.87,0.00,0.00,0.00,1.00,658.60,1.97,0.04,1.42,12.12,712.65,0
V - Bicol Region,63,315,1,2,"11,587.49",19.77,0.22,"10,187.01",0.62,0.11,0.41,1.09,869.47,140.46,0.00,9.93,381.08,"23,197.66",476.84
VI - Western Visayas,25,1103,8,2,0.00,0.46,16.62,34.71,0.12,48.22,0.67,11.94,"2,872.55",46.96,0.19,5.32,605.67,"3,643.43","3,206.14"
VII - Central Visayas,93,391,10,11,"2,035.52",354.98,"7,845.47","2,027.53",23.98,"1,438.66",738.70,162.58,"1,895.67",747.68,18.72,40.80,739.40,"18,069.68","263,401.66"
VIII - Eastern Visayas,18,881,5,2,0.00,23.55,32.00,"23,153.63",0.00,0.41,7.60,1.99,784.97,3.22,0.05,4.53,32.84,"24,044.80",216.55
IX - Zamboanga Peninsula,14,269,1,0,0.00,0.13,166.81,25.52,0.00,1.11,0.00,0.00,718.44,0.05,0.00,0.34,"2,472.10","3,384.50",526.12
X - Northern Mindanao,9,501,3,5,0.00,64.23,"1,037.03",215.98,0.00,12.25,0.59,282.74,"7,345.44",137.48,93.25,0.74,413.77,"9,603.50","11,612.80"
XI - Davao Region,14,1257,8,7,"1,213,998.36",20.77,535.38,488.39,0.00,"1,943.24",2.20,47.29,"7,162.90",509.90,0.00,158.92,"5,280.16","1,230,147.51","1,195,418.87"
XII - SOCCSKSARGEN,0,175,8,2,0.00,24.39,2.30,116.88,2.40,131.70,20.34,0.00,719.27,123.19,0.25,0.00,276.75,"1,417.46",922.5
XIII - Caraga  ,34,561,3,0,"9,285.75",1.07,1.00,17.99,0.00,0.01,0.00,0.00,"3,726.86",2.26,0.00,0.00,17.55,"13,052.48","10,852.33"
BARMM,NaN,19,1,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , , , , ,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
 , , , , , , , ,,,,,,,,,,,,
